                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 0.1186,                0.14656,               0.023534,                      0,              0.0033333,                      1,              0.0066333,              0.0013411,              0.0016667,                    0.5,              0.0046199,             0.00046199,                0.08471,                0.10198,               0.013911,                      0,                    0.1,                      0,                      0
                      1,                0.11211,                0.14487,               0.023862,                      0,              0.0033333,                      1,              0.0078287,              0.0018159,              0.0016667,                    0.5,              0.0048446,             0.00082879,               0.084532,               0.099864,               0.013913,                      0,                 0.0991,              9.955e-05,              9.955e-05
                      2,                0.11973,                0.10887,                0.02336,                      0,              0.0033333,                      1,               0.008106,              0.0018273,              0.0016667,                    0.5,               0.004925,             0.00083141,               0.084045,               0.094551,                0.01398,                      0,               0.098198,              0.0001982,              0.0001982
                      3,                0.11989,                0.10014,               0.024012,                      0,              0.0033333,                      1,              0.0076245,              0.0020903,              0.0016667,                    0.5,              0.0048446,             0.00081644,                0.08374,               0.094413,               0.014025,                      0,               0.097296,             0.00029595,             0.00029595
                      4,                0.11176,               0.085979,               0.021791,                      0,              0.0033333,                      1,              0.0053871,              0.0018087,              0.0016667,                    0.5,              0.0049663,              0.0011316,               0.082326,               0.084449,               0.014241,                      0,               0.096393,              0.0003928,              0.0003928
                      5,                0.11348,                0.10471,               0.021543,                      0,              0.0033333,                      1,              0.0046354,              0.0017155,              0.0016667,                    0.5,              0.0031299,               0.001252,               0.080726,               0.070923,               0.014447,                      0,               0.095489,             0.00048875,             0.00048875
                      6,                0.10818,               0.095717,               0.026568,                      0,              0.0033333,                      1,              0.0082794,              0.0021294,              0.0016667,                    0.5,              0.0046558,              0.0014416,               0.079128,               0.057613,               0.014574,                      0,               0.094584,              0.0005838,              0.0005838
                      7,                0.11728,                0.06448,               0.021763,                      0,              0.0033333,                      1,              0.0092525,              0.0015021,              0.0016667,                    0.5,              0.0055281,              0.0016584,               0.075829,               0.045864,               0.014871,                      0,               0.093678,             0.00067795,             0.00067795
                      8,                0.11224,               0.049134,               0.023472,                      0,              0.0033333,                      1,              0.0092525,              0.0015021,              0.0016667,                    0.5,              0.0055281,              0.0016584,               0.075829,               0.045864,               0.014871,                      0,               0.092771,              0.0007712,              0.0007712
                      9,                0.10625,               0.068402,               0.028552,                      0,              0.0033333,                      1,               0.019448,              0.0045212,              0.0033333,                      1,                0.01363,              0.0047777,               0.071825,               0.038116,               0.015071,                      0,               0.091864,             0.00086355,             0.00086355
